2026-07-22 14:06:13,721 | INFO     | Camera       | ============================================================
2026-07-22 14:06:13,736 | INFO     | Camera       | Logger initialized
2026-07-22 14:06:13,736 | INFO     | Camera       | Log file : logs\20260722_140613.log
2026-07-22 14:06:13,736 | INFO     | Camera       | ============================================================
2026-07-22 14:06:13,738 | INFO     | App          | ============================================================
2026-07-22 14:06:13,738 | INFO     | App          | Logger initialized
2026-07-22 14:06:13,738 | INFO     | App          | Log file : logs\20260722_140613.log
2026-07-22 14:06:13,738 | INFO     | App          | ============================================================
2026-07-22 14:06:13,738 | INFO     | Camera       | Opening webcam...
2026-07-22 14:06:15,328 | INFO     | Camera       | Camera opened.
2026-07-22 14:06:15,328 | INFO     | Camera       | Resolution : (1280, 720)
2026-07-22 14:06:15,328 | INFO     | App          | EyeTrax Prototype started.
2026-07-22 14:06:20,072 | INFO     | App          | Screenshot saved : results\frame_1784703980.png
2026-07-22 14:06:21,470 | INFO     | App          | Application closed.
2026-07-22 14:06:21,924 | INFO     | Camera       | Camera released.
